职业,数学技能,编程能力,创造力,分析能力,沟通能力,领导能力,商业头脑,解决问题,团队协作,适应能力
动态图形设计师,-0.2,0.6,0.9,0.5,0.6,0.2,0.4,0.6,0.7,0.8
技术美术(游戏),0.4,0.8,0.7,0.7,0.7,0.4,0.5,0.9,0.9,0.8
电子商务运营专员,0.4,0.3,0.5,0.7,0.7,0.4,0.8,0.8,0.8,0.9
数字营销经理,0.4,0.3,0.8,0.8,0.8,0.7,0.85,0.8,0.8,0.9
SEO/SEM专家,0.5,0.5,0.6,0.9,0.6,0.3,0.7,0.8,0.6,0.9
社交媒体经理,0.1,0.1,0.8,0.7,0.8,0.5,0.7,0.7,0.7,0.9
内容营销策略师,-0.1,0.1,0.85,0.8,0.8,0.5,0.7,0.7,0.7,0.8
供应链分析师,0.7,0.4,-0.1,0.85,0.7,0.4,0.7,0.8,0.8,0.8
国际贸易专员,0.5,0.1,0.1,0.7,0.8,0.4,0.8,0.7,0.7,0.9
企业发展经理,0.4,0.1,0.5,0.8,0.9,0.8,0.9,0.8,0.8,0.9
管理顾问,0.6,0.3,0.6,0.95,0.9,0.7,0.9,0.9,0.8,0.9
市场研究分析师,0.7,0.4,0.2,0.9,0.8,0.3,0.7,0.8,0.7,0.8
品牌经理,0.3,0.2,0.8,0.8,0.8,0.7,0.9,0.8,0.8,0.8
媒介策划,0.5,0.2,0.5,0.8,0.7,0.4,0.7,0.7,0.7,0.8
审计师(公共会计),0.9,0.1,-0.4,0.9,0.6,0.4,0.6,0.7,0.8,0.7
管理会计师,0.8,0.3,0.1,0.8,0.7,0.5,0.8,0.8,0.7,0.7
税务顾问,0.9,0.1,-0.2,0.85,0.7,0.3,0.7,0.7,0.6,0.8
法务会计师,0.8,0.3,0.4,0.9,0.7,0.4,0.7,0.9,0.7,0.8
内部审计师,0.8,0.2,-0.3,0.85,0.7,0.4,0.7,0.8,0.7,0.7
财务总监,0.8,0.3,0.3,0.9,0.8,0.9,0.9,0.9,0.8,0.8
投行分析师,0.9,0.5,-0.2,0.95,0.8,0.5,0.8,0.8,0.9,0.9
风险管理师,0.9,0.6,-0.3,0.9,0.7,0.4,0.8,0.8,0.7,0.8
财富管理顾问,0.6,0.2,0.3,0.8,0.9,0.6,0.9,0.7,0.7,0.8
信贷分析师,0.8,0.3,-0.2,0.9,0.7,0.3,0.8,0.8,0.6,0.7
量化分析师(Quant),0.95,0.9,-0.1,0.95,0.5,0.3,0.7,0.9,0.7,0.8
金融合规官,0.5,0.2,-0.4,0.85,0.8,0.5,0.8,0.8,0.7,0.8
广播记者,0.1,0.2,0.6,0.7,0.9,0.4,0.3,0.8,0.7,0.9
数字内容编辑,-0.1,0.4,0.7,0.7,0.8,0.5,0.6,0.7,0.7,0.9
创意文案(广告),-0.2,-0.3,0.95,0.5,0.8,0.2,0.5,0.6,0.7,0.8
技术文档工程师,0.3,0.5,-0.5,0.7,0.8,0.2,0.3,0.8,0.7,0.7
公关专员,0.1,0.1,0.7,0.7,0.95,0.5,0.7,0.8,0.8,0.9
企业传播经理,0.2,0.2,0.6,0.8,0.9,0.8,0.8,0.8,0.8,0.8
活动策划经理,0.3,0.2,0.8,0.6,0.9,0.7,0.7,0.8,0.9,0.9
艺术总监(广告),-0.3,-0.2,0.95,0.6,0.8,0.7,0.6,0.7,0.8,0.8
笔译员(中/英),-0.2,-0.3,0.3,0.6,0.7,-0.2,0.2,0.7,0.3,0.8
口译员(中/英),-0.1,-0.2,0.4,0.6,0.95,0.2,0.3,0.8,0.4,0.9
出版编辑,-0.2,0.1,0.6,0.7,0.8,0.4,0.4,0.7,0.6,0.7
内容本地化专员,-0.1,0.3,0.5,0.7,0.8,0.2,0.5,0.7,0.7,0.9
汉语言教师(国际),-0.1,-0.2,0.7,0.5,0.9,0.4,0.2,0.6,0.7,0.8
英语教师(ESL),-0.1,-0.2,0.7,0.5,0.9,0.4,0.2,0.6,0.7,0.8
针灸师,0.5,-0.1,0.3,0.8,0.9,0.2,0.5,0.8,0.5,0.8
中草药师,0.6,-0.1,0.3,0.8,0.9,0.2,0.5,0.8,0.5,0.8
中医健康顾问,0.4,-0.1,0.5,0.7,0.95,0.4,0.6,0.7,0.6,0.8
中医研究员,0.7,0.3,0.2,0.9,0.7,0.4,0.3,0.8,0.8,0.7
电子硬件工程师,0.8,0.7,0.2,0.8,0.6,0.4,0.4,0.9,0.8,0.7
通信工程师,0.8,0.7,-0.1,0.8,0.6,0.4,0.5,0.85,0.8,0.8
控制系统工程师,0.8,0.8,-0.2,0.8,0.6,0.4,0.4,0.9,0.8,0.7
工艺工程师(化工),0.9,0.5,-0.4,0.85,0.7,0.5,0.6,0.9,0.8,0.8
产品开发科学家(化工),0.8,0.4,0.6,0.8,0.7,0.4,0.6,0.8,0.8,0.7
安全工程师(化工),0.7,0.3,-0.5,0.8,0.7,0.5,0.6,0.9,0.8,0.8
太阳能工程师,0.8,0.6,0.4,0.8,0.6,0.5,0.6,0.9,0.8,0.8
能源分析师,0.8,0.5,0.1,0.9,0.7,0.4,0.8,0.8,0.7,0.8
材料工程师,0.9,0.5,0.4,0.8,0.6,0.4,0.5,0.8,0.8,0.7
物理海洋学家,0.8,0.6,-0.1,0.9,0.6,0.4,0.2,0.8,0.8,0.8
海洋化学家,0.9,0.4,-0.2,0.9,0.6,0.4,0.2,0.8,0.8,0.8
海洋生物学家,0.7,0.3,0.4,0.85,0.6,0.4,0.2,0.8,0.8,0.8
水产养殖经理,0.5,0.2,0.2,0.6,0.6,0.6,0.7,0.7,0.7,0.9
海洋保育专员,0.5,0.2,0.5,0.7,0.8,0.5,0.4,0.7,0.8,0.8
海道测量师,0.8,0.5,-0.2,0.8,0.6,0.4,0.4,0.8,0.7,0.9
海洋政策顾问,0.4,0.1,0.4,0.8,0.9,0.6,0.6,0.7,0.7,0.8
精算师,0.95,0.6,-0.3,0.9,0.7,0.4,0.8,0.8,0.6,0.8
统计师,0.95,0.7,-0.4,0.9,0.7,0.3,0.5,0.8,0.6,0.7
运筹学分析师,0.9,0.6,0,0.9,0.7,0.4,0.7,0.9,0.7,0.8
医学物理师,0.9,0.5,0.1,0.85,0.8,0.3,0.4,0.8,0.8,0.7
天体物理学家,0.95,0.7,0.3,0.95,0.6,0.4,0.1,0.9,0.8,0.8
半导体工程师,0.8,0.6,-0.1,0.85,0.6,0.4,0.5,0.9,0.8,0.7
IT支持专家,0.2,0.6,-0.2,0.7,0.9,0.2,0.3,0.9,0.7,0.9
数字取证分析师,0.4,0.7,0.2,0.9,0.7,0.2,0.4,0.9,0.7,0.8
人力资源分析师,0.6,0.5,0.2,0.8,0.8,0.3,0.7,0.8,0.7,0.8


